area,ap_ratio,avg_temp,avg_humidity,production,max_temp,min_temp,max_relative_humidity,min_relative_humidity,growth_jan,growth_feb,growth_mar,growth_apr,growth_may,growth_jun,growth_jul,growth_aug,growth_sep,growth_oct,growth_nov,growth_dec,harvest_jan,harvest_feb,harvest_mar,harvest_apr,harvest_may,harvest_jun,harvest_jul,harvest_aug,harvest_sep,harvest_oct,harvest_nov,harvest_dec,transplant_month,season_enc,district_enc,crop_name_enc
297,0.1652754590984975,26.5,80.0,1797,35,18.0,75,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1,11,24
884,0.1009939449331657,19.0,77.5,8753,30,8.0,70,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,36,13
48,1.0666666666666669,25.0,67.5,45,30,20.0,65,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,26,22
2924,1.810526315789473,27.5,85.0,1615,35,20.0,80,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,62,29
57,0.4488188976377952,20.0,80.0,127,25,15.0,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,37,41
181306,0.9005637650565007,26.0,72.5,201325,40,12.0,60,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,11,0
348,0.2612612612612612,20.5,80.0,1332,24,17.0,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,52,67
0,0.0,18.0,66.5,0,21,15.0,47,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,3,12
1365,0.2010605391073796,16.0,85.0,6789,22,10.0,75,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,12,60
189,0.3684210526315789,21.0,70.0,513,30,12.0,65,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,8,58
527,0.5280561122244489,20.0,75.0,998,25,15.0,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,16,40
0,0.0,21.0,62.5,0,25,17.0,40,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,53,15
497,0.9613152804642168,17.75,55.0,517,20,15.5,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,27,70
1011,0.75,22.5,60.0,1348,30,15.0,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,45,16
423,2.1581632653061225,22.5,75.0,196,30,15.0,65,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,54,61
1278,0.3606094808126411,20.0,67.5,3544,25,15.0,65,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,58,53
161,0.1788888888888888,30.0,80.0,900,35,25.0,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1,53,7
60,0.8108108108108109,27.5,85.0,74,35,20.0,80,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,24,46
57,0.4191176470588235,25.0,72.5,136,30,20.0,60,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,34,36
23,0.0391156462585034,30.0,80.0,588,35,25.0,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,19,33
2,0.2857142857142857,20.5,60.0,7,27,14.0,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,37,45
399,0.2719836400817996,20.5,80.0,1467,24,17.0,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,63,67
23,0.8518518518518519,32.5,65.0,27,40,25.0,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,17,68
0,0.0,21.0,62.5,0,25,17.0,40,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,9,15
46,2.3,30.0,70.0,20,35,25.0,60,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,55,50
325,0.1667521806054387,25.0,80.0,1949,35,15.0,75,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,60,4
641,0.3514254385964912,25.0,80.0,1824,32,18.0,75,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,12,19
0,0.0,21.0,62.5,0,25,17.0,40,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,20,15
122,0.2711111111111111,22.5,75.0,450,27,18.0,65,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,36,14
932,0.4997319034852547,25.5,87.5,1865,27,24.0,85,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,55,37
1103,0.238538062283737,16.0,85.0,4624,22,10.0,75,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,29,60
77,1.925,15.0,90.0,40,20,10.0,85,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,51,43
108,0.3253012048192771,17.5,77.5,332,25,10.0,60,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,5,42
46,0.359375,32.5,65.0,128,40,25.0,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,28,68
110,0.2127659574468085,29.0,67.5,517,35,23.0,50,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,33,30
96,0.2798833819241982,23.5,61.0,343,32,15.0,52,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,41,52
80,0.3524229074889868,25.0,70.0,227,30,20.0,65,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,41,8
67774,0.8565867468813589,26.0,72.5,79121,40,12.0,60,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,30,3
417,0.4674887892376682,25.5,87.5,892,27,24.0,85,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,21,37
1228,0.2082414787179922,25.0,70.0,5897,30,20.0,60,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,12,26
2045,0.4794841735052755,20.0,67.5,4265,25,15.0,65,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,62,53
0,0.0,28.0,35.0,0,30,26.0,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,57,2
32,0.2882882882882883,26.5,75.0,111,35,18.0,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,12,57
56336,0.5846348626519028,26.0,72.5,96361,40,12.0,60,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,51,9
217,0.0759006645680307,25.0,70.0,2859,30,20.0,60,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,58,28
